Municipality,ISTAT Code,Cadastral Code,Year of Construction,Climate Zone,Winter Energy,Sanitary Energy,Global Energy Location,Non-Renewable Global Energy Performance,Renewable Global Energy Performance,Degree Days,CO2 Emission,ID
Baselga di Pin̬,22009,18,1998,F,81.12,25.14,144.49,0.0,0.0,3790,21.65,112
Roncegno Terme,22156,312,1920,F,216.65,29.28,290.85,0.0,0.0,3120,49.14,113
Calceranica al Lago,22032,53,1950,F,152.88,26.12,200.41,0.0,0.0,3066,36.21,114
Rovereto,22161,322,1900,E,206.04,132.22,341.56,0.0,0.0,2713,98.49,115
Pergine Valsugana,22139,424,1700,F,48.57,23.28,77.47,0.0,0.0,3147,14.54,116
Rovereto,22161,322,1972,E,43.46,14.23,61.29,0.0,0.0,2713,9.7,117
Folgaria,22087,154,2007,F,43.62,26.11,109.12,0.0,0.0,4141,14.02,118
Roncegno Terme,22156,312,1912,F,269.43,22.24,354.09,0.0,0.0,3120,58.28,119
Isera,22098,266,1970,E,113.43,27.0,143.75,0.0,0.0,2773,28.32,120
Cles,22062,106,2001,F,42.28,23.06,77.64,0.0,0.0,3265,13.05,121
Nago-Torbole,22124,248,1995,E,56.49,20.0,74.53,0.0,0.0,2276,16.03,122
Cles,22062,106,1965,F,181.3,36.1,269.5,0.0,0.0,3265,43.4,123
Moena,22118,235,1900,F,364.34,18.74,509.97,0.0,0.0,4238,102.16,124
Canal San Bovo,22038,64,1900,F,338.39,0.0,470.27,0.0,0.0,3572,0.0,125
Grigno,22095,168,1940,E,240.64,21.24,281.04,0.0,0.0,2801,54.1,126
Cavedine,22053,48,1999,F,156.3,17.8,203.6,0.0,0.0,3177,34.8,127
Pomarolo,22144,282,1971,E,24.02,6.69,31.95,0.0,0.0,2716,6.35,128
Soraga di Fassa,22176,356,1979,F,140.34,21.61,215.26,0.0,0.0,4294,34.59,129
Borgo Valsugana,22022,37,1997,E,58.38,20.82,85.89,0.0,0.0,2984,16.6,130
Pomarolo,22144,282,1971,E,31.53,63.52,96.1,0.0,0.0,2716,27.72,131
Ledro,22229,24,1850,F,293.4,27.66,321.06,0.0,0.0,3420,75.7,132
Predazzo,22147,290,1984,F,114.7,33.2,212.0,0.0,0.0,4295,24.8,133
Ledro,22229,142,1980,F,257.9,23.9,353.1,0.0,0.0,3420,1.8,134
Pergine Valsugana,22139,63,1900,F,20.4,30.7,65.6,0.0,0.0,3147,10.2,135
Predazzo,22147,290,1984,F,110.3,33.3,204.8,0.0,0.0,4295,25.3,136
Besenello,22013,22,1999,E,63.1,27.32,91.24,0.0,0.0,2734,18.3,137
Tenno,22191,440,1975,F,182.3,18.7,230.9,0.0,0.0,3058,53.0,138
Rovereto,22161,215,2004,E,46.02,8.69,57.59,0.0,0.0,2713,11.07,139
Pinzolo,22143,280,1985,F,226.12,64.64,375.2,0.0,0.0,3592,111.0,140
Rovereto,22161,215,2004,E,64.81,31.33,97.71,0.0,0.0,2713,19.43,141
Folgaria,22087,154,1972,F,121.95,30.88,227.54,0.0,0.0,4141,31.0,142
Tione di Trento,22199,397,1915,F,51.4,1.84,62.71,0.0,0.0,3272,10.74,143
Pergine Valsugana,22139,273,1978,F,178.96,20.42,230.26,0.0,0.0,3147,40.31,144
Pergine Valsugana,22139,273,1978,F,93.02,19.55,129.46,0.0,0.0,3147,23.14,145
Fornace,22089,156,1972,F,65.13,24.55,119.1,0.0,0.0,3545,18.0,146
Mazzin,22113,223,1978,F,207.27,51.12,404.6,0.0,0.0,4773,40.59,147
Arco,22006,9,2007,E,63.64,7.45,67.46,0.0,0.0,2380,14.2,148
Borgo Valsugana,22022,37,2006,E,90.25,24.09,124.32,0.0,0.0,2984,23.1,149
Fornace,22089,156,1972,F,78.55,29.31,140.89,0.0,0.0,3545,22.0,150
Riva del Garda,22153,307,1900,E,343.48,54.25,379.01,0.0,0.0,2276,89.9,151
Tione di Trento,22199,397,1915,F,193.63,41.64,265.72,0.0,0.0,3272,48.12,152
Lavis,22103,185,1800,E,22.05,0.0,22.77,0.0,0.0,2784,4.5,153
Rovereto,22161,215,2004,E,72.4,49.95,123.07,0.0,0.0,2713,24.82,154
Rovereto,22161,322,1900,E,76.6,24.71,102.28,0.0,0.0,2713,20.56,155
Canal San Bovo,22038,64,1965,F,437.74,0.0,584.48,0.0,0.0,3572,12.0,156
Canal San Bovo,22038,64,1965,F,259.67,0.0,312.19,0.0,0.0,3572,7.0,157
Mezzolombardo,22117,232,1991,E,78.18,21.95,101.81,0.0,0.0,2835,20.25,158
Pergine Valsugana,22139,273,1950,F,235.43,31.25,295.77,0.0,0.0,3147,53.68,159
Rovereto,22161,322,1960,E,112.19,34.16,147.86,0.0,0.0,2713,29.57,160
Calceranica al Lago,22032,53,1995,F,323.81,27.26,397.92,0.0,0.0,3066,70.86,161
Rovereto,22161,322,1600,E,120.31,23.32,147.49,0.0,0.0,2713,29.0,162
Calliano,22035,56,1950,E,87.85,24.85,113.18,0.0,0.0,2686,22.79,163
Cavedine,22053,177,1968,F,108.08,29.21,159.11,0.0,0.0,3177,28.0,164
Dro,22079,140,2006,E,47.57,30.48,76.57,0.0,0.0,2354,18.37,165
Cavedine,22053,177,1968,F,110.83,29.21,162.01,0.0,0.0,3177,28.0,166
Rovereto,22161,322,1800,E,69.48,39.14,110.27,0.0,0.0,2713,22.0,167
Rovereto,22161,325,1994,E,62.21,35.51,99.22,0.0,0.0,2713,19.9,168
Spiazzo,22179,246,2004,F,205.07,44.1,286.68,0.0,0.0,3405,58.62,169
Cavalese,22050,86,1963,F,105.27,21.43,183.62,0.0,0.0,4028,0.3,170
Aldeno,22003,4,1957,E,169.99,26.03,196.82,0.0,0.0,2720,39.53,171
Aldeno,22003,4,1957,E,178.07,25.97,205.09,0.0,0.0,2720,41.14,172
Roncegno Terme,22156,312,1986,F,229.72,15.53,284.58,0.0,0.0,3120,49.0,173
Lavarone,22102,184,1999,F,199.91,33.0,232.91,0.0,0.0,4147,62.41,174
Giovo,22092,163,1998,F,81.34,14.58,111.64,0.0,0.0,3059,19.54,175
Arco,22006,310,1970,E,669.47,60.11,708.91,0.0,0.0,2380,181.62,176
Cles,22062,106,1965,F,172.8,34.7,254.6,0.0,0.0,3265,41.4,177
Lavarone,22102,184,1970,F,153.63,55.74,209.37,0.0,0.0,4147,56.1,178
Mori,22123,245,2011,E,41.3,14.3,62.6,0.0,0.0,2713,11.1,179
Tesero,22196,393,2008,F,28.22,8.98,48.51,0.0,0.0,4028,7.43,180
Riva del Garda,22153,307,2002,E,89.44,49.39,135.39,0.0,0.0,2276,28.12,181
Ala,22001,2,1800,E,380.26,45.42,424.85,0.0,0.0,2672,184.0,182
Ruffr̬-Mendola,22162,323,1970,F,180.94,25.56,295.38,0.0,0.0,4263,55.24,183
Borgo Valsugana,22022,37,1985,E,39.83,1.18,44.26,0.0,0.0,2984,10.9,184
Lavis,22103,185,1998,E,106.49,28.35,136.24,0.0,0.0,2784,27.3,185
Romeno,22155,327,1991,F,142.47,31.57,235.03,0.0,0.0,3890,45.99,186
Comano Terme,22228,71,1996,F,137.92,21.68,183.17,0.0,0.0,3180,43.7,187
Besenello,22013,22,2013,E,220.54,19.95,243.67,0.0,0.0,2734,49.0,188
Pellizzano,22137,270,1900,F,40.6,1.59,61.14,0.0,0.0,3834,11.3,189
Besenello,22013,22,2006,E,284.4,30.22,316.58,0.0,0.0,2734,63.94,190
Besenello,22013,22,2013,E,278.69,21.49,303.14,0.0,0.0,2734,61.0,191
Caldonazzo,22034,55,2007,F,77.59,2.82,94.81,0.0,0.0,3089,16.14,192
